"campaignid","sample","caab_code","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","number"
"2020-10_south-west_BOSS","1","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"2020-10_south-west_BOSS","1","00000002","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"2020-10_south-west_BOSS","1","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","1","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,7
"2020-10_south-west_BOSS","1","10000909","Biota","Sponges","Cup-likes",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","1","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","1","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","1","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","100","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","100","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","100","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","100","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","100","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",11
"2020-10_south-west_BOSS","100","80300906","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","100","80300908","Biota","Macroalgae","Erect fine branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","100","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","100","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,30
"2020-10_south-west_BOSS","100","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,18
